title,url,ingredients,steps,uuid,categoria
Alubias con perdiz,https://www.recetasgratis.net/receta-de-alubias-con-perdiz-74556.html,"2 perdices de criadero
1 paquete de alubias de la granja (judión)
2 puerros
1 cebolla morada
5 dientes de ajo
3 hojas de laurel
3 clavos de olor
1 cucharada postre de pimentón dulce, romero molido
1 cucharada postre de sal o al punto, ají molido,o pimienta
1 vaso pequeño de vinagre de manzana y aceite de oliva virgen","1 Después de dejar 24 horas en remojo las alubias de la granja, introdúcelas en una cacerola honda con agua suficiente como para cubrirlas al menos tres dedos por encima de ellas.Añade el tomate pelado entero, los dientes de ajo con la piel y sin cascar. Agrega también los puerros y, antes de añadir la cebolla morada pelada, pincha los clavos de olor en ella. Truco: Clavamos los clavos en la cebolla para evitar que se esparzan y te cueste encontrarlos después. 
2 Deja tapada la olla y deja que cueza una hora a fuego bajo. Corta las perdices en mitades y vierte aceite en una cazuela de barro para freírlas hasta que se doren. No añadas sal aún o se endurecerá la carne de la perdiz. 
3 Transcurrido el tiempo de cocción de las alubias, saca todas las verduras con excepción de los ajos. No olvides retirar también los clavos de la cebolla morada. Introduce las verduras en un vaso picador y tritura hasta convertirlas en puré. Las alubias deben continuar cocinándose. 
4 En la misma cazuela donde doraste la perdiz, sofríe laurel, pimentón y ají molido, remueve y no lo tengas más que unos segundos a fuego suave. Puedes añadir alguna otra especia o aliño picante si lo deseas. 
5 Enseguida vierte la salsa que has batido como un puré y sofríe tres minutos removiendo. Esta salsa que se forma va a ser una de las partes importantes de este plato de perdiz con alubias, pues lo ayudará a tomar un sabor inconfundible. 
6 Añade esta mezcla de la salsa a la olla donde hierven las judías. Remueve y deja que sigan cociendo a fuego lento. Es importante tener paciencia, pues este tipo de alubias o habichuelas tardan en cocer, más aún si las haces en una olla normal a fuego lento como se hacía de antaño. 
7 A continuación, añade un vasito pequeño de vinagre de manzana o algún vinagre suave, y añade la sal al punto. Ten cuidado al añadir sal, porque al concentrarse los sabores toma más fuerza el caldo y puede resultar muy salado. 
8 Sube el fuego y deja que rompa a hervir con más rapidez. En este momento, también puedes añadir romero molido, o sustituir este por sama o alguna hierba similar.Tapa y cuece por una hora a fuego suave y ya estará terminado tu plato, aunque si lo dejas reposar de un día para otro este guiso será mucho mas delicioso. Truco: Las alubias con perdiz podrás guardarlas congeladas en un recipiente y tener un plato completo para un día en el que no tengas tiempo para cocinar 9 Sirve las alubias con perdiz a la mesa y acompáñalas de una ensalada de brotes tiernos. Estos platos de cuchara son muy completos y la verdad es que necesitan de poco más para acompañar, pero eso te lo dejamos a ti. ¡Buen apetito!",34a36750-b4f6-40b9-af43-25a457508380,comida
Alubias con Almejas,https://www.recetasgratis.net/receta-de-alubias-con-almejas-73564.html,"400 gramos de alubias secas
1 trozo de puerro
1 cabeza de ajos
1 hoja de laurel
250 gramos de almejas
2 cucharadas soperas de tomate frito
1 cucharada postre de pimentón
100 mililitros de vino blanco
1 chorro de aceite
1 pizca de sal
1 cucharada sopera de perejil picado","1 Ten las alubias en remojo la noche anterior. Al día siguiente, escurre las alubias y ponlas en una olla cubiertas de agua, pon un trozo de puerro, 4-5 dientes de ajos y la hoja de laurel. 
2 Ponlas a cocer y, cuando empiecen a hervir fuerte, corta la cocción con un vaso de agua. Después, déjalas cocinar a fuego lento entre 1 hora y media o 2 horas dependiendo de la alubia. Si tienes olla rápida, en 20 minutos las tendrás cocidas. 
3 Cuando estén listas, apaga. Puedes quitar las verduras o triturarlas y añadirlas a las alubias. 
4 Prepara las almejas. En una sartén pon un poco de aceite, pica 2 dientes de ajos y échalos a la sartén. Antes de que cojan color, añade las cucharadas de tomate y el pimentón, remuevo todo bien. Agrega el vino blanco, incorpora las almejas y déjalas hasta que se abran. Echa un poco de perejil. 
5 Cuando estén las almejas, échalas a la cazuela de las alubias, deja cocer 5 minutos todo junto y listo, ¡tendrás un plato riquísimo de alubias con almejas!",4232947d-e86f-4553-a3f6-44d149dcacaf,comida
Alubias blancas con almejas,https://www.recetasgratis.net/receta-de-alubias-blancas-con-almejas-7959.html,"¾ kilogramo de Alubias blancas ½ kilogramo de Almejas finas
1 unidad de Tomate maduro
1 unidad de Cebolla
½ hoja de Laurel
1 rama de Perejil
1 unidad de Papeleta de azafrán
1 diente de Ajo
½ cucharadita de Pimentón dulce
1 chorro de Aceite
1 pizca de Sal","1 Para hacer estas alubias blancas con almejas, se ponen las alubias en remojo en agua fría, durante la noche anterior. 
2 A la mañana siguiente se escurren las alubias blancas, se trasladan a una cacerola y se les añade la cebolla picada, el tomate pelado y cortado en trozos pequeños, el laurel, el ajo, el perejil, el pimentón y el aceite crudo; se sacude la cacerola para mezclarlo todo y se cubre con agua fría. 
3 Cuando la olla de las alubias blancas rompa el hervor, se baja la llama, se pone el azafrán ligeramente tostado y se deja cocer lentamente, procurando que las alubias estén siempre cubiertas de agua para que no suelten la piel. 
4 Una vez tiernas, las alubias blancas se sazonan con sal y se siguen cociendo muy despacio. 
5 Por separado se preparan las almejas a la marinera y se añaden a las alubias blancas, dejándolas hervir muy despacio, un cuarto de hora más. 
6 Se retiran del fuego las alubias con almejas y se dejan reposar, tapadas, unos diez minutos antes de servirlas. Ya sólo queda disfrutar esta receta fácil de alubias blancas con almejas, ¡buen provecho!Y si te gustan los recetas con almejas, no te pierdas las siguientes recomendaciones:Patatas con almejasAlcachofas con almejasEspaguetis con almejas",0ed3ab92-1d63-42a6-82c9-55601e0eb0ef,comida
Alubias blancas con lechuga y zanahoria,https://www.recetasgratis.net/receta-de-alubias-blancas-con-lechuga-y-zanahoria-31350.html,"300 gramos de Alubias balncas
200 gramos de Zanahoria
4 hojas de Lechuga
100 gramos de Cebolla
1 diente de Ajo
½ cucharadita de Pimentón
6 cucharadas soperas de Aceite de oliva
1 pizca de Sal","1 Ponemos las alubias en remojo en agua fría durante 10 horas. 
2 Cuando las vayamos a cocinar y una vez pasado el tiempo de remojo, las escurrimos y colocamos en una cazuela, junto con la cebolla, la zanahoria y el ajo cortado en brounoisse (cortado en trocitos diminutos) el pimentón y el aceite de oliva. 
3 Cubrimos con agua fría y ponemos a hervir. 
4 Cuando rompe el hervir, bajamos el fuego, y dejamos cocer lentamente, procurando que las alubias estén siempre cubiertas de agua para que no suelten la piel aproximadamente durante 2 horas si cocinamos en cazuela normal y 40 minutos si cocinamos en la olla rápida. 
5 Una vez tiernas las alubias, añadimos las hojas de la lechuga cortada en juliana (corte en tiras) sazonamos y dejamos que sigan cociendo muy despacio. 
6 Retiramos del fuego y se dejan reposar, tapadas, unos diez minutos antes de servirlas.",14015f35-eba7-45a8-85ce-a9da2fcd6567,comida
Alubias blancas con chorizo,https://www.recetasgratis.net/receta-de-alubias-blancas-con-chorizo-8199.html,"400 gramos de alubias blancas secas
2 trozos de chorizo
1 trozo de panceta fresca
1 cebolla
3 dientes de ajo
1 trozo de puerro
4 cucharadas soperas de tomate frito o triturado
1 cucharada postre de pimentón dulce
1 chorro de aceite
1 pizca de sal","1 La noche anterior pon las alubias en remojo cubiertas de abundante agua, déjalas unas 10- 12 horas. Truco: para esta receta de alubias blancas con chorizo y verduras también puedes utilizar alubias de bote y ahorrarte este paso. 
2 Corta las verduras, pela los dientes ajos y déjalos enteros. Pela la cebolla y córtala por la mitad, lava el puerro y corta un trozo. 
3 En una cazuela alta pon un poco de aceite, añade las verduras, rehógalas por un par de minutos. Seguido, añade el tomate frito o triturado, mézclalo bien. 
4 Corta el chorizo en rodajas y la panceta en trozos. Truco: también puedes variar la preparación y hacer alubias blancas con chorizo y morcilla. 
5 Añade el chorizo y la panceta a la cazuela, remueve y deja que se cocine un par de minutos todo junto. 
6 Añade la cucharadita de pimentón dulce a la cazuela junto a todo, remueve. 
7 Escurre las judías blancas, añádelas a la cazuela donde tienes todo el sofrito. Añade el agua hasta que cubra las cubra, dejando unos tres dedos de agua por encima de ellas. Deja a fuego fuerte hasta que las judías blancas con chorizo empiecen a hervir. 
8 Cuando empiece las habichuelas con chorizo empiecen a hervir, quita la espuma que se forma por encima. Baja un poco el fuego y deja que se cocinen las judías durante una hora. Corta el hervor un par de veces añadiendo un vaso de agua fría. Vigila que no se queden sin agua. 
9 Cuando veas que casi están, añade sal, prueba y rectifica hasta que estén a nuestro gusto. Si te gusta el caldo más espeso puedes aprovechar las verduras, la cebolla y el puerro triturándolos y añadiéndolos a la cazuela. Remueve y deja cocinar unos 10 minutos, esto da más sabor y liga más la salsa. Si te parece bien como está, saca las verduras.Cuando ya estén las judías blancas con chorizo, panceta y verduras, apaga. Déjalas reposar un rato o hasta la hora de comer. De un día para otro están más buenas. Disfruta de las alubias con chorizo calientes y sirve como plato principal acompañado de pan casero, por ejemplo. Finaliza la comida con un tradicional postre de flan de huevo. Y si quieres otras recetas con este tipo de alubias blancas o habichuelas, puedes probar las alubias con tomate o el potaje de .",29a957e5-9beb-48aa-9c7e-bff2cb435512,comida
Alubias blancas con cerdo en adobo,https://www.recetasgratis.net/receta-de-alubias-blancas-con-cerdo-en-adobo-62645.html,"500 gramos de Alubias blancas
2 Patatas medianas
1 Puerro
1 Cebolla
1 Pimiento rojo
3 dientes de Ajo
3 Zanahorias
600 gramos de Costilla de cerdo en adobo
1 Manita de cerdo en adobo
1 Oreja de cerde en adobo
1 pizca de Sal Aceite de oliva","1 Este cocido de alubias blancas está pensado para prepararlo de un día para otro, de modo que la noche anterior a su preparación, pondremos en remojo las alubias.En un recipiente ponemos las alubias y las cubrimos con el doble de agua y en otro recipiente, y para eliminar el exceso de adobo, pondremos también en remojo la carne. 
2 Al día siguiente procedemos de la siguiente manera. En una cazuela y con el mismo agua que hemos utilizado para cubrir las alubias, ponemos a hervir los granos con una pizca de sal, media cebolla sin trocear, un par de zanahorias peladas, enteras también, los ajos pelados y la otra zanahoria en rodajas. Cuando hierva ponemos a fuego medio y tapamos.Por otro lado. en otra cazuela y con agua nueva, ponemos a cocer la carne. Recomiendo para esto usar la olla express. 
3 Mientras tanto picamos finamente el resto de ingredientes, es decir, el puerro, la otra media cebolla y el pimiento. Estos tres ingredientes los picaremos en brunoise mientras que las patatas en mirepoix. 
4 Para seguir con la preparación de estas ricas alubias blancas, en una sartén con un chorro de aceite ponemos a pochar el puerro, la cebolla y el pimiento. Cuando este bien pochadito reservamos.Iremos vigilando de vez en cuando las alubias y al cabo de una hora y media sacaremos la cebolla, los ajos y las zanahorias. Con esta verdura haremos una salsa, así que las trituramos con un poco del agua de la cocción y se lo agregaremos de nuevo a las alubias junto con el pochado de verduras.Cuando veamos que a las alubias les queda poco, añadimos las patatas y rectificamos de sal. Si a medida que las alubias se van haciendo, vemos que se van quedando si agua, le podemos ir añadiendo agua de la cocción de la carne. 
5 Las alubias estarán listas cuando no ofrezcan resistencia a la presión con los dedos. A mi particularmente, una vez terminadas, me gusta introducir en ellas parte de la carne que hemos cocido para que esta quede aún más jugosa.Servir un buen plato de potaje de alubias blancas con cerdo adobada al gusto. Ya sabes que puedes presentarlo por separado o como digo yo, integrando la carne en el cocido. ¡A disfrutar!",84ed6525-d195-44cb-828a-1b2a2aa7d1f1,comida
Alubias de bote con chorizo y morcilla,https://www.recetasgratis.net/receta-de-alubias-de-bote-con-chorizo-y-morcilla-61614.html,"2 botes de Alubias blancas cocidas
1 pastilla de Avecrem o Caldo concentrado
½ Morcilla picante
½ Chorizo picante
1 Cebolla
1 Pimiento verde
2 cucharaditas de Pimentón picante
4 Patatas medianas Aceite
1 chorro de Tomate frito
1 cucharada postre de Colorante alimentario","1 Para hacer nuestros potaje con alubias de bote empezamos por lavar y picar las verduras. La cebolla y el pimiento en trocitos pequeñitos, las patatas en gajos pequeños y el embutido en rodajas más o menos gruesas.Aparte calentamos un poco de aceite en una olla de fondo grueso y cuando este caliente, añadimos las verduras, removemos y se deja freír hasta que coja color y se dore un poquito la cebolla. 
2 A continuación agregamos el chorizo, volvemos a remover y mantenemos la cocción a fuego lento para que vaya desprendiendo su sabor. 
3 Seguidamente añadimos las patatas, previamente peladas, lavadas, peladas y cortadas, y removemos. En este punto ya podemos sazonar el sofrito base de nuestras alubias blancas añadiendo al pimentón, el avecrem, el chorro de tomate frito y el colorante. 
4 Ahora añadimos las alubias escurridas y movemos todo bien para que se impregne de los sabores del sofrito. Añadimos agua hasta que se cubra todo hasta dos dedos por encima y continuamos con la cocción a fuego lento.Ve removiendo de vez en cuando, pero muy poco, para que no se partan las alubias de bote. 
5 Deja que hierve y cuando se ablande las patatas agrega la morcilla en trozos grandes. A partir de aquí ya puedes ir probando y cuando estén a tu gusto las dejas reposar.Recuerda que como todo potaje, las alubias de bote con chorizo y morcilla van mejorando el sabor con el tiempo, así que al día siguiente de la preparación estarán más ricas.",fd4f207d-c631-4563-add2-2fe556d79d98,comida
Alubias blancas de bote con verduras,https://www.recetasgratis.net/receta-de-alubias-blancas-de-bote-con-verduras-60546.html,"1 bote de alubias blancas
1 puerro mediano
1 cebolla pequeña
1 pimiento verde
1 pimiento rojo
1 diente de ajo
1 zanahoria
1 tomate maduro
1 cucharadita de pimentón de la Vera
5 cucharadas soperas de aceite de oliva virgen
1 pizca de sal","1 Para empezar a preparar la receta de alubias de bote con verduras, pela y pica la cebolla, el ajo y el puerro en trocitos pequeños. Aparte, limpia y trocea los pimientos, y pela y corta en rodajitas la zanahoria. 
2 Luego, pon aceite a calentar en una cazuela y añade las rodajitas de zanahoria y los pimientos troceados, deja que se pochen unos minutos. Cuando el pimiento empiece a ablandarse añade el resto de verduras, el ajo bien picado, la cebolla y el puerro, sazona y sofríe a fuego lento unos 6 minutos.Aparte, ralla el tomate y añádelo a la cazuela, remueve y cocina unos dos minutos más. Echa la cucharadita de pimentón de la Vera, remueve con una cuchara para que se mezcle todo bien y la receta de judías blancas de bote con verduras quede perfecta. 
3 Abre el bote de alubias y ponlas en un colador, pásalas bajo el grifo para que pierdan el líquido que tenían. Añade las judías a la cazuela con las verduras, cubre con agua, mezcla con cuidado y deja que cueza todo junto unos 5 minutos, prueba de sal y echa un poco si le hiciera falta. 
4 Sirve bien caliente el plato de judías blancas de bote guisadas con verduras y disfrútalas acompañadas de pan casero.Tanto si te ha gustado la receta como si piensas que podría mejorarla, dame tu opinión que será bien recibida. Te animo a que visites mi blog Mandarinas y miel y descubras todas mis recetas.",0ee73272-119d-47a3-9ba1-ad07b4a44b27,comida
Alubias con panceta y chorizo,https://www.recetasgratis.net/receta-de-alubias-con-panceta-y-chorizo-60482.html,"400 gramos de Alubias blancas
150 gramos de Habas desgranadas
75 gramos de Panceta
1 unidad de Cebolla
1 unidad de Diente de ajo
1 unidad de Hoja de laurel
50 gramos de Chorizo
2 unidades de Clavo de especia
3 cucharadas soperas de Aceite de oliva
1 cucharadita de Pimienta negra molida
1 cucharadita de Sal","1 Antes de cocinar las legumbres, debemos poner las alubias en remojo en agua fría la noche anterior.El día de la preparación, escurrirlas y ponerlas en una cazuela con la cebolla pelada y entera, la hoja de laurel y los dos clavos. Cubrir con agua fría y cocer sin taparlas a fuego lento durante 50 minutos más o menos.Si utilizas una olla rápida para preparar nuestro plato de alubias con panceta y chorizo, bastará con cocer las alubias blancas durante 10 minutos. 
2 Cuando las alubias ya estén blandas, calentamos el aceite en una sartén para saltear el ajo muy picadito, la cebolla que hemos cocido con las alubias, la panceta cortado en taquitos y las habas.Echar este sofrito en la cazuela donde están las alubias. 
3 Por otro lado, en una sartén sin aceite, echamos el chorizo cortado en daditos y salteamos unos minutos para que suelte la grasa: Desechamos la grasa y añadimos el chorizo a la cazuela.Salpimentamos y dejamos cocer unos 20 minutos más o 10 si estamos cocinando en una olla rápida. 
4 El plato de alubias con panceta y chorizo se debe servir caliente. Las alubias con unas legumbres exquisitas que puedes preparar de muchas formas, en RecetasGratis encontrarás una gran variedad de recetas con estas legumbres como las alubias con tomate. Aunque si te animas a visitar el blog de La Cocina de Catina, encontrarás otras preparaciones como las alubias con pulpo.",827ec3d1-2df6-4c2b-a7d6-5d9f90c156d0,comida
Alubias con pulpo cocido,https://www.recetasgratis.net/receta-de-alubias-con-pulpo-cocido-60297.html,"1 kilogramo de Pulpo
300 gramos de Alubias blancas
4 Tomates hermosos maduros
1 diente de Ajo Agua de cocer el pulpo
½ vaso de Vino blanco seco
½ vaso pequeño de Aceite de oliva
1 Guindilla
2 hojas de Laurel
1 cucharadita de Sal","1 Ponemos las alubias blancas a remojo durante toda la noche, preferiblemente en un bol con agua fría. Transcurrido este tiempo escurrirlas y cocerlas con agua, un poquito de sal y una hoja de laurel durante 30 minutos aproximadamente hasta que veamos que están tiernas.Si cocemos las alubias en olla rápida con 10 minutos es suficiente. Si son alubias de conserva, las añadiremos al guiso durante los últimos 5 minutos. 
2 A continuación, cocinamos el pulpo. Para ello, tendremos preparada una olla con agua hirviendo con una hoja de laurel y le daremos al pulpo los tres baños de rigor antes de dejarlo inmersos en el agua durante más o menos una hora o hasta que este tierno.Una vez cocido lo dejamos escurrir, lo troceamos y reservamos, reservando también 1/2 vaso de agua de la cocción.Si tienes duda sobre este procedimiento en particular puedes revisar la receta de pulpo cocido con fotos en todos los pasos. 
3 Ahora vamos a preparar el sofrito para nuestro plato de alubias con pulpo, en una cacerola con aceite freímos el ajo pelado y machacado junto con la cebolla cortada en juliana, sin que llegue a dorarse. Añadir los tomates pelados y troceados, mezclar bien y freír durante 15 minutos. 
4 Añadir la guindilla, el caldo que teníamos reservado y el vino, rectificamos de sal y dejamos cocer otros 15 minutos más. Incorporamos las alubias y el pulpo y dejamos que termine de cocer durante 10 minutos para que se mezclen bien todos los sabores. 
5 Pasado este tiempo ya podrás servir y disfrutar de un rico plato de alubias con pulpo cocido bien caliente. Y si te gusta comer pulpo, otra receta que no puedes dejar de probar es la del marmitako de pulpo. Y para más recetas paso a paso no dejes de visitar mi blog La Cocina de Catina, no olvides compartir y dejar tus comentarios.",c636b5a1-8dba-48c7-8aa9-5c4b743ae2b4,comida
Alubias con verduras y pollo,https://www.recetasgratis.net/receta-de-alubias-con-verduras-y-pollo-60247.html,"1 bote de alubias a la jardinera
40 gramos de pimiento verde
30 gramos de pimiento rojo
1 pizca de sal
50 mililitros de aceite de oliva
1 jamoncito de pollo","1 Antes de comenzar a elaborar esta receta de alubias con verduras y pollo presentamos los ingredientes que necesitamos. 
2 Picamos fina la verdura. En este caso como las alubias blancas ya vienen con un extra de cebolla y zanahoria, no le agregamos más que pimiento. Si las tuvieras que cocer tú porque lo prefieres o no tienes judías blancas de bote, añade el toque de la cebolla en una cantidad generosa y remata con el toque dulce de la zanahoria. 
3 Calentamos un poco de aceite de oliva en una sartén y vamos a sellar el muslito de pollo. Para ello, primero daremos poca potencia al fuego, y cuando ya lleve cinco minutos, vuelta y vuelta, entonces le damos un poco más de fuerza para que se dore bien. Hay quien quita la piel del pollo, ya que es un componente con mucho aporte calórico. Nosotros queremos que dé ese gustillo al plato de judías blancas con verduras y pollo, así que la hemos dejado. Truco: Cuando son muslos o piezas con mucha carne, te recomendamos abrirlas antes con unos cortes, como se ve en la imagen. Así evitas que queden poco hechos por dentro. 
4 En el mismo aceite de marcar el pollo, sofreímos las verduras con una pizquina de sal. Una vez están doradas, añadimos el contenido de la sartén al bol con las alubias. Todo, aceite incluido. Recuerda que hemos echado poco aceite, y la razón es precisamente esta: queremos un plato de alubias de bote con pollo con cuerpo, sí, pero no pesado. 
5 Finalmente, calentamos las alubias blancas con verduras y pollo en el microondas para que todo esté caliente. ¡Huele que alimenta!Y si te gustan las receta de legumbres con carnes no te pierdas esta de alubias blancas con cerdo en adobo o esta de alubias con panceta y chorizo por ejemplo. ¡Igualmente deliciosas!",d569820c-fb94-4f5b-a107-8e3133bc4749,comida
Alubias con chorizo con Thermomix,https://www.recetasgratis.net/receta-de-alubias-con-chorizo-con-thermomix-59898.html,"150 gramos de Cebolla
100 gramos de Pimiento rojo
2 dientes de Ajo
50 gramos de Zanahoria
50 gramos de Aceite de oliva
2 Chorizos en rodajas
1 trozo de Tocino
100 gramos de Jamón serrano
800 gramos de Judias blancas cocidas
500 mililitros de Agua
1 hoja de Laurel","1 Empezamos a preparar nuestro potaje de judías blancas colocando la cebolla troceada en el vaso junto con el pimiento, el ajo, la zanahoria y el aceite. Programa entonces durante 4 segundos en velocidad 4 para picar las verduras. 
2 A continuación pocha las verduras durante 8 minutos con la Thermomix en modo Varoma y velocidad 1. 
3 Cuando la máquina termine, añade dentro todas las rodajas de chorizo junto con el tocino y el jamón. Añade también unas tres cucharadas de las judías blancas, previamente escurridas, para darle espesor a la salsa base de nuestro potaje, agua y laurel.Programa la Thermomix por 20 minutos con la temperatura en 100º, giro a la izquierda y activa la velocidad cuchara.Procura que las rodajas de chorizo sean más bien gruesas, en cuanto al jamón, puedes comprarlo en tacos o utilizar también un hueso de jamón. 
4 Comprueba la sazón de nuestra receta con alubias blancas y añade una pizca de sal, aunque como el jamón ya aporta suficiente sal no creo que sea necesario.Coloca entonces en el vaso el resto de las judías, previamente escurridas, y programa por 3 minutos manteniendo la temperatura a 100º, el giro a la izquierda y la velocidad de cuchara. 
5 Sirve las alubias con chorizo con Thermomix recién hechas, bien calientes, y disfruta de este plato de cuchara en una tarda fría de otoño o invierno. A esta receta de judías blancas con Thermomix también añadirlo otros ingredientes como morcilla o patata.Y si quieres más recetas de potajes caseros con Thermomix, revisa la receta de garbanzos con espinacas o las clásicas lentejas.",9fbaf529-828a-4259-87b4-392d0d62db6e,comida
Alubias blancas con butifarra,https://www.recetasgratis.net/receta-de-alubias-blancas-con-butifarra-59644.html,"4 Butifarras
600 gramos de Alubias blanca
1 chorro de Aceite
1 pizca de Sal
2 trozos de Panceta de cerdo","1 Esta receta la prepararemos con alubias frescas, así que como en cualquier receta con granos, lo primero que debes hacer es dejarlas en remojo desde la noche anterior a la preparación del plato. 
2 El día de la preparación, escurre el agua y lava las alubias. Colócalas entonces en una olla con agua hasta cubrirlas y cocina a fuego medio-alto hasta que estén blandas. El tiempo de cocción dependerá de la calidad de las alubias pero debe ser entre 2 y 3 horas.Cuando le queden unos 10 minutos para estar listas añade sal a la olla para sazonar los granos. Truco: Si quieres ir más rápido puedes usar una olla express. 
3 Cuando las alubias estén listas, se escurren y saltean en una sartén con los trozos de panceta previamente salados, remueve y cocina todo junto durante unos 5 minutos. 
4 Por otro lado, para hacer este plato de forma tradicional, deberás cocinar la butifarra a la brasa. Si no tienes brasas disponibles puedes hacerla a la parrilla o a la plancha. Cocina dando vueltas hasta que esté dorada y bien hecha. 
5 Terminadas las dos preparaciones se sirve las alubias blancas con butifarra, todo en el mismo plato. Este plato típico de Cataluña se acompaña con pan de payés o pan de pueblo y alioli casero a gusto de cada comensal. ¡Buen provecho!",48747999-3e42-41aa-8b23-a1adcb6fa1c1,comida
Alubias rojas con zanahoria,https://www.recetasgratis.net/receta-de-alubias-rojas-con-zanahoria-58525.html,"4 unidades de Zanahoria
½ unidad de Cebolleta
300 gramos de Alubias rojas
1 pizca de Sal
2 cucharadas soperas de Aceite de oliva
1 cucharada postre de Orégano","1 Reunimos todos los ingredientes para preparar las alubias rojas con zanahoria. No olvides que este plato es una comida ideal para diabéticos o en todo caso, también se puede servir como cena ligera. 
2 Pelamos las zanahorias, las troceamos en cuartos y las cocemos en abundante agua hirviendo con un poco de sal. 
3 Por otra parte, colamos las alubias y las lavamos con agua. Si queréis usar alubias secas tendréis que cocerlas en agua hasta que se ablanden. 
4 Salteamos la cebolleta en una sartén con aceite de oliva durante 3 minutos a fuego medio. 
5 Agregamos las alubias rojas, ponemos un poco de sal y removemos. Dejamos cocinar un par de minutos. 
6 Una vez cocidas las zanahorias, escurrimos el agua y las machacamos con ayuda de un tenedor. Añadimos un poco de sal y de orégano y mezclamos. Si queréis, podéis agregar un chorrito de vinagre blanco. 
7 Sirve en conjunto el puré de zanahoria con el salteado de alubias rojas y buen provecho! Esta receta de alubias rojas con zanahoria se puede tomar como parte de una cena ligera acompañadas por un postre ligero de mango y kiwi.Si queréis probar otras recetas para diabéticos, podéis probar la pizza con harina integral para diabéticos. ¡Esperamos vuestros comentarios!",6f9dc757-52f7-42a1-950b-626e3f808546,comida
